title,type,description,text_unit_ids,frequency
STONE OF THE PHILOSOPHERS,EVENT,['The Stone of the Philosophers is a legendary substance sought after by alchemists for its transformative properties'],['0'],1
EDWARD KELLY,PERSON,['Edward Kelly is a historical figure who was involved in alchemical pursuits and writings'],['0'],1
ALCHEMY,EVENT,['Alchemy is a philosophical and proto-scientific tradition that aimed to transform base metals into noble metals and discover the elixir of life'],['0'],1
MERCURY,GEO,['Mercury is a substance often associated with alchemical processes and believed to have transformative properties'],['0'],1
GOLD,GEO,['Gold is a precious metal often sought after by alchemists for its symbolic and material properties'],['0'],1
SILVER,GEO,['Silver is a precious metal often used in alchemical processes and believed to have mystical properties'],['0'],1
ARISTOTLE,PERSON,"['Aristotle was a philosopher whose works influenced alchemical thought', 'Aristotle discusses the union of pure substances and the transformation of impure bodies']","['0', '1']",2
AVICENNA,PERSON,"['Avicenna was a Persian polymath known for his contributions to alchemy and philosophy', 'Avicenna discusses the dissolution of the Stone and the transformation of bodies into spirits in alchemy']","['0', '1']",2
GEO,EVENT,['Geo is a term used in alchemy to refer to the earth element and its properties'],['0'],1
SULPHUR,GEO,['Sulphur is a substance often used in alchemical processes and believed to have transformative properties'],['0'],1
PLATO,PERSON,['Plato is a philosopher who discusses the transformation of substances'],['1'],1
PANDULPHUS,PERSON,['Pandulphus discusses the generation of poison and the wisdom attained through alchemical processes'],['1'],1
RHASIS,PERSON,['Rhasis discusses the purification and transformation of substances in alchemy'],['1'],1
ROSINUS,PERSON,['Rosinus discusses the importance of spirits and bodies in alchemical processes'],['1'],1
CALID,PERSON,['Calid discusses the preparation and subtilization of substances in alchemy'],['1'],1
ASCANIUS,PERSON,['Ascanius discusses the interaction between copper and mercury in alchemical processes'],['1'],1
GRATIANUS,PERSON,['Gratianus discusses the whitening of copper with mercury in alchemical processes\nGratianus instructs on the whitening of copper with mercury in alchemical processes'],['1'],1
MORIENUS,PERSON,"['Morienus discusses the whitening, purifying, and substantializing of substances in alchemy\nMorienus discusses the']",['1'],1
SATURN,PERSON,"[""Saturn's work involves the subtilization of principles in alchemical processes""]",['1'],1
