source,target,description,text_unit_ids,weight
HERMES,FIRST KEY,['Hermes demonstrated the operation of the First Key'],['0'],8.0
ARTEFIUS,MERCURY,['Artefius is mentioned as a philosopher who passed over the Preparation of Mercury in silence'],['0'],5.0
TREVISAN,MERCURY,['Trevisan is mentioned as a philosopher who passed over the Preparation of Mercury in silence'],['0'],5.0
FLAMMEL,MERCURY,['Flammel is mentioned as a philosopher who passed over the Preparation of Mercury in silence'],['0'],5.0
JOHN PONTANUS,STONE,['John Pontanus protested that the superfluities of the Stone are converted into a true essence'],['0'],6.0
JOHN PONTANUS,FERMENTATION OF THE STONE,['John Pontanus discussed the fermentation of the Stone'],['0'],12.0
COSMOPOLITE,MERCURY,['Cosmopolite mentioned the purification of Mercury'],['0'],7.0
COSMOPOLITE,FERMENTATION OF THE STONE,['Cosmopolite discussed the fermentation of the Stone'],['0'],12.0
GEORGE RIPLEY,COMPOUND OF ART,['George Ripley defined the compound of Art as a mixture of Argent vive and Sulphur'],['0'],10.0
GEORGE RIPLEY,MULTIPLICATION OF THE STONE,['George Ripley discussed the multiplication of the Stone'],['0'],12.0
SENIOR,STONE,['Senior advised reducing the highest fume to the lowest in the process of making the Stone'],['0'],12.0
SENIOR,MULTIPLICATION OF THE STONE,['Senior discussed the multiplication of the Stone'],['0'],2.0
JOHN DEE,ELEMENTS AND PRINCIPLES,['John Dee discussed the purification of the Elements and Principles'],['0'],14.0
