source,target,description,text_unit_ids,weight
INTERNET ENCYCLOPEDIA OF PHILOSOPHY,RENE DESCARTES,"[""Rene Descartes' works are featured in the Internet Encyclopedia of Philosophy""]",['0'],8.0
RENE DESCARTES,MICHAEL SOLY,"[""Michael Soly published the first edition of Descartes' Meditations""]",['0'],7.0
RENE DESCARTES,LOUIS ELZEVIR,"[""Louis Elzevir published the second edition of Descartes' Meditations""]",['0'],7.0
RENE DESCARTES,DUKE DE LUYNES,"[""Duke de Luynes translated Descartes' works into French""]",['0'],6.0
RENE DESCARTES,PERE MERSENNE,"[""Pere Mersenne assisted in the publication of Descartes' works""]",['0'],6.0
RENE DESCARTES,LEO X,['Leo X presided over the Lateran Council that condemned certain tenets'],['0'],5.0
RENE DESCARTES,ARCHIMEDES,"[""Archimedes' geometric demonstrations are compared to Descartes' reasonings""]",['0'],8.0
RENE DESCARTES,APOLLONIUS,"[""Apollonius' work on conic sections is mentioned in relation to Descartes' reasonings""]",['0'],7.0
RENE DESCARTES,PAPPUS,"[""Pappus' work on geometry is mentioned in relation to Descartes' reasonings""]",['0'],7.0
RENE DESCARTES,SORBONNE,"[""The Sorbonne is mentioned in relation to Descartes' reasonings""]",['0'],1.0
RENE DESCARTES,WISDOM OF SOLOMON,"[""The Wisdom of Solomon is referenced in relation to Descartes' reasonings""]",['0'],5.0
RENE DESCARTES,ROMANS,"[""The Book of Romans is referenced in relation to Descartes' reasonings""]",['0'],5.0
ALHAMIA PRISON,SAMUEL NAMARA,['Samuel Namara was held in Alhamia Prison'],['0'],14.0
TIRUZIA,AURELIA,['Tiruzia is mentioned in relation to Aurelia'],['0'],4.0
KROHAARA,QUINTARA,['Krohaara is the capital city in Quintara'],['0'],6.0
CASHION,AURELIA,['Cashion is the capital city in Aurelia'],['0'],6.0
SAMUEL NAMARA,MEGGIE TAZBAH,['Samuel Namara and Meggie Tazbah were exchanged in the same hostage release'],['0'],5.0
SAMUEL NAMARA,DURKE BATAGLANI,['Samuel Namara and Durke Bataglani were exchanged in the same hostage release'],['0'],5.0
