title,type,description,text_unit_ids,frequency
BENEDICT DE SPINOZA,PERSON,['Benedict de Spinoza is the author of the Theologico-Political Treatise'],['0'],1
GOD,PERSON,['God is the divine being who reveals knowledge to man'],['0'],1
MOSES,PERSON,"[""Moses is a prophet who interprets God's revelations""]",['0'],1
AARON,PERSON,"[""Aaron is Moses' brother who acts as a prophet""]",['0'],1
PHARAOH,PERSON,"[""Pharaoh is the ruler to whom Moses and Aaron deliver God's messages""]",['0'],1
QUINTARA,GEO,['Quintara is a location where a financial exchange took place'],['0'],1
KROHAARA,GEO,['Krohaara is the capital city where funds were transferred'],['0'],1
TIRUZIA,GEO,['Tiruzia is the capital of Firuzabad where hostages were held'],['0'],1
CASHION,GEO,['Cashion is the capital city of Aurelia where hostages are being taken'],['0'],1
SAMUEL NAMARA,PERSON,"[""Samuel Namara is a businessman and hostage in Tiruzia's Alhamia Prison""]",['0'],1
DURKE BATAGLANI,PERSON,['Durke Bataglani is a journalist and hostage in Firuzabad'],['0'],1
MEGGIE TAZBAH,PERSON,['Meggie Tazbah is an environmentalist and hostage in Firuzabad'],['0'],1
ALHAMIA PRISON,GEO,['Alhamia Prison is a prison in Tiruzia where hostages were held'],['0'],1
AURELIA,GEO,['Aurelia is a country where the Aurelians are returning home'],['0'],1
FIRUZI,GEO,['Firuzi is a nationality of the hostages held in Firuzabad'],['0'],1
BRATINAS,GEO,['Bratinas is another nationality of one of the hostages'],['0'],1
FIRUZABAD,,[''],['0'],1
