source,target,description,text_unit_ids,weight
HERMETIC ARCANUM,AUTHOR,['The author of the text is associated with the Hermetic Arcanum organization'],['0'],7.0
HERMETIC ARCANUM,GEO,['The Hermetic Arcanum organization is linked to various geographical locations mentioned in the text'],['0'],5.0
HERMETIC ARCANUM,EVENT,"[""The Hermetic Arcanum organization is involved in various events related to the creation of the Philosophers' Stone""]",['0'],1.0
ALCHEMY,PHILOSOPHERS,"[""The Philosophers are practitioners of alchemy and are involved in the creation of the Philosophers' Stone""]",['0'],6.0
SOL,PHILOSOPHERS,['The Philosophers work with the symbolic representation of Sol in their alchemical practices'],['0'],4.0
LUNA,PHILOSOPHERS,['The Philosophers work with the symbolic representation of Luna in their alchemical practices'],['0'],1.0
QUINTARA,AURELIA,['Quintara brokered the hostage exchange between Firuzabad and Aurelia'],['1'],2.0
QUINTARA,FIRUZABAD,['Quintara brokered the hostage exchange between Firuzabad and Aurelia'],['1'],2.0
FIRUZABAD,AURELIA,['Firuzabad negotiated a hostage exchange with Aurelia'],['1'],2.0
FIRUZABAD,SAMUEL NAMARA,['Samuel Namara was a hostage in Firuzabad'],['1'],2.0
FIRUZABAD,MEGGIE TAZBAH,['Meggie Tazbah was a hostage in Firuzabad'],['1'],2.0
FIRUZABAD,DURKE BATAGLANI,['Durke Bataglani was a hostage in Firuzabad'],['1'],1.0
SAMUEL NAMARA,ALHAMIA PRISON,['Samuel Namara was a prisoner at Alhamia prison'],['1'],8.0
SAMUEL NAMARA,MEGGIE TAZBAH,['Samuel Namara and Meggie Tazbah were exchanged in the same hostage release'],['1'],2.0
SAMUEL NAMARA,DURKE BATAGLANI,['Samuel Namara and Durke Bataglani were exchanged in the same hostage release'],['1'],2.0
DURKE BATAGLANI,MEGGIE TAZBAH,['Meggie Tazbah and Durke Bataglani were exchanged in the same hostage release'],['1'],2.0
ELIXIR,MERCURY,['The Elixir can be projected onto Mercury to create a powerful transformation'],['2'],7.0
ELIXIR,SOL,['The Elixir causes Sol to shine most purely\nSol plays a significant role in the workings of the Elixir'],['2'],16.0
ELIXIR,ARNOLD OF VILLA NOVA,['Arnold of Villa Nova wrote about the virtues of the Elixir'],['2'],5.0
ELIXIR,LULLIUS,['Lullius wrote about the virtues of the Elixir'],['2'],5.0
ELIXIR,PHILOSOPHER,['The Philosopher instructs about the Times of the Stone and the workings of the Elixir'],['2'],9.0
ELIXIR,SPIRIT OF ETERNAL LIGHT,['The Spirit of Eternal Light is invoked for guidance in understanding the Elixir'],['2'],7.0
ELIXIR,PHILOSOPHERS,['Philosophers study the virtues of the Elixir for various purposes'],['2'],6.0
ELIXIR,LUNA,"[""Luna is associated with the Elixir and the Philosophers' Significator""]",['2'],7.0
THREE-HEADED DRAGON,GOLDEN FLEECE,['The Three-Headed Dragon guards the Golden Fleece'],['2'],6.0
SATURN,PHILOSOPHERS,['Saturn has two houses assigned by the Ancients in the Philosophical work studied by Philosophers'],['2'],5.0
SATURN,AQUARIUS,"[""Aquarius is a zodiac sign associated with the Blackness of the work of the Magistery in Saturn's second house""]",['2'],4.0
PISCES,PHILOSOPHERS,['Pisces is a zodiac sign where the work turns black studied by Philosophers'],['2'],5.0
ARIES,PHILOSOPHERS,['Aries is a zodiac sign where the sublimation or separation of the Elements begins studied by Philosophers'],['2'],6.0
CANCER,PHILOSOPHERS,['Cancer is a zodiac sign that adds great whiteness and splendor studied by Philosophers'],['2'],7.0
LEO,PHILOSOPHERS,['Leo is a zodiac sign associated with the Regal Mansion of the Sun and the Solar work studied by Philosophers'],['2'],8.0
LIBRA,PHILOSOPHERS,['Libra is a zodiac sign where the Solar work is terminated into a Ruby Stone or perfect Sulphur studied by Philosophers'],['2'],9.0
SCORPIO,PHILOSOPHERS,['Scorpio is a zodiac sign required for the completing of the Elixir studied by Philosophers'],['2'],7.0
SAGITTARIUS,PHILOSOPHERS,['Sagittarius is a zodiac sign required for the completing of the Elixir studied by Philosophers'],['2'],7.0
