title,type,description,text_unit_ids,frequency
TIMAEUS,PERSON,['Timaeus is a philosopher and astronomer who is the speaker in the text'],['0'],1
PLATO,PERSON,['Plato is the author of the text'],['0'],1
BENJAMIN JOWETT,PERSON,['Benjamin Jowett is the translator of the text'],['0'],1
NEW YORK,GEO,['New York is a city where the text was published'],['0'],1
C. SCRIBNER'S SONS,ORGANIZATION,"[""C. Scribner's Sons is the publisher of the text""]",['0'],1
SOCRATES,PERSON,['Socrates is a character in the text'],['0'],1
CRITIAS,PERSON,['Critias is a character in the text'],['0'],1
HERMOCRATES,PERSON,['Hermocrates is a character in the text'],['0'],1
ATHENS,GEO,['Athens is mentioned as the ancient city in the text'],['0'],1
ATLANTIS,GEO,['Atlantis is mentioned as a mythical island in the text'],['0'],1
GOD,PERSON,"['God is referenced as the creator in the text', 'God is mentioned as the creator and designer of the human body and soul']","['0', '4']",2
EARTH,GEO,"['Earth is mentioned as one of the elements in the creation of the world', 'Earth is the habitat for beings created by the transformers']","['0', '5']",2
FIRE,GEO,['Fire is mentioned as one of the elements in the creation of the world'],['0'],1
WATER,GEO,"['Water is mentioned as one of the elements in the creation of the world', 'Water is the element given to the inhabitants of the water by the transformers']","['0', '5']",2
AIR,GEO,['Air is mentioned as one of the elements in the creation of the world'],['0'],1
NEITH,PERSON,['Neith is mentioned as a deity in the text'],['0'],1
SOLON,PERSON,['Solon is mentioned as a wise man in the text'],['0'],1
AMYNANDER,PERSON,['Amynander is mentioned as a character in the text'],['0'],1
FIRER,GEO,['Fire is mentioned as an element in the creation of the world'],['0'],1
WORLD,GEO,['The world is mentioned as the creation of the universe'],['0'],1
HEPHAESTUS,,[''],['0'],1
VERDANTIS,ORGANIZATION,"['Verdantis is a country or region where the Central Institution operates, setting interest rates', 'Verdantis is a central institution that sets interest rates on specific days', 'Verdantis is a country or region with a Central Institution that sets interest rates']","['1', '2', '3']",3
CENTRAL INSTITUTION,ORGANIZATION,"['The Central Institution is an organization responsible for setting interest rates in Verdantis', 'The Central Institution is the Federal Reserve of Verdantis, which is setting interest rates on Monday and Thursday', 'The Central Institution is the Federal Reserve of Verdantis, which is setting interest rates on Monday and Thursday']","['1', '2', '3']",3
MARTIN SMITH,PERSON,"['Martin Smith is the Chair of the Central Institution', 'Martin Smith is the chair of the Central Institution', 'Martin Smith is the chair of the Central Institution']","['1', '2', '3']",3
MARKET STRATEGY COMMITTEE,ORGANIZATION,"['The Market Strategy Committee is a subcommittee of the Central Institution responsible for key decisions on interest rates and money supply', ""The Central Institution committee makes key decisions about interest rates and the growth of Verdantis's money supply"", ""The Central Institution committee makes key decisions about interest rates and the growth of Verdantis's money supply""]","['1', '2', '3']",3
TECHGLOBAL,ORGANIZATION,"['TechGlobal is a stock listed on the Global Exchange that powers premium smartphones', 'TechGlobal is a stock now listed on the Global Exchange which powers 85% of premium smartphones', 'TechGlobal is a stock now listed on the Global Exchange which powers 85% of premium smartphones']","['1', '2', '3']",3
VISION HOLDINGS,ORGANIZATION,"['Vision Holdings is a firm that previously owned TechGlobal', 'Vision Holdings is a firm that previously owned TechGlobal', 'Vision Holdings is a firm that previously owned TechGlobal']","['1', '2', '3']",3
FIRUZABAD,GEO,"['Firuzabad is a location where Aurelians were held as hostages', 'Firuzabad held Aurelians as hostages', 'Firuzabad held Aurelians as hostages']","['1', '2', '3']",3
AURELIA,GEO,"['Aurelia is a country seeking to release hostages', 'Country seeking to release hostages', 'Country seeking to release hostages']","['1', '2', '3']",3
QUINTARA,GEO,"['Quintara is a country that negotiated a hostage exchange with Firuzabad and Aurelia', 'Country that negotiated a swap of money in exchange for hostages']","['1', '2']",2
TIRUZIA,GEO,"['Tiruzia is the capital of Firuzabad where hostages were held', 'Capital of Firuzabad where the Aurelians were being held', 'Capital of Firuzabad where the Aurelians were being held']","['1', '2', '3']",3
KROHAARA,GEO,"['Krohaara is the capital city in Quintara where funds were transferred', 'Capital city in Quintara', 'Capital city in Quintara\nCapital city in Quintara where the hostage exchange funds were transferred']","['1', '2', '3']",3
CASHION,GEO,"['Cashion is the capital city in Aurelia where hostages are being welcomed', 'Capital city in Aurelia', 'Capital city in Aurelia']","['1', '2', '3']",3
