source,target,description,text_unit_ids,weight
TIMAEUS,PLATO,['Timaeus is a character in the text written by Plato'],['0'],8.0
TIMAEUS,SOCRATES,['Timaeus is the speaker in the text and interacts with Socrates'],['0'],7.0
TIMAEUS,GOD,['God is referenced as the creator in the text explained by Timaeus'],['0'],9.0
SOCRATES,CRITIAS,['Critias is a character in the text who interacts with Socrates'],['0'],6.0
SOCRATES,HERMOCRATES,['Hermocrates is a character in the text who interacts with Socrates'],['0'],6.0
CRITIAS,SOLON,['Solon is mentioned as a wise man whose tale is related by Critias'],['0'],7.0
CRITIAS,AMYNANDER,['Amynander is mentioned as a character in the text related by Critias'],['0'],6.0
ATHENS,ATLANTIS,['Athens and Atlantis are mentioned as locations in the text'],['0'],1.0
GOD,WORLD,['The world is mentioned as the creation of the universe by God'],['0'],1.0
EARTH,FIRE,['Earth and fire are mentioned as elements in the creation of the world\nFire and earth are mentioned as elements in the creation of the world'],['0'],14.0
EARTH,WATER,['Water and earth are mentioned as elements in the creation of the world'],['0'],7.0
WATER,AIR,['Air and water are mentioned as elements in the creation of the world\nWater and air are mentioned as elements in the creation of the world'],['0'],14.0
NEITH,HEPHAESTUS,['Hephaestus and Neith are mentioned as deities in the text'],['0'],5.0
CENTRAL INSTITUTION,MARTIN SMITH,"['Martin Smith is the Chair of the Central Institution and will answer questions at a press conference', 'Martin Smith is the Chair of the Central Institution and will answer questions at a press conference', 'Martin Smith is the Chair of the Central Institution and will answer questions at a press conference']","['1', '2', '3']",27.0
TECHGLOBAL,VISION HOLDINGS,"['Vision Holdings formerly owned TechGlobal', 'Vision Holdings formerly owned TechGlobal from 2014 until present', 'Vision Holdings formerly owned TechGlobal from 2014 until present']","['1', '2', '3']",11.0
FIRUZABAD,AURELIA,"['Firuzabad negotiated a hostage exchange with Aurelia', 'Firuzabad negotiated a hostage exchange with Aurelia', 'Firuzabad negotiated a hostage exchange with Aurelia']","['1', '2', '3']",6.0
FIRUZABAD,QUINTARA,"['Quintara brokered the hostage exchange between Firuzabad and Aurelia', 'Quintara brokered the hostage exchange between Firuzabad and Aurelia', 'Quintara brokered the hostage exchange between Firuzabad and Aurelia']","['1', '2', '3']",6.0
FIRUZABAD,SAMUEL NAMARA,"['Samuel Namara was a hostage in Firuzabad', 'Samuel Namara was a hostage in Firuzabad', 'Samuel Namara was a hostage in Firuzabad']","['1', '2', '3']",6.0
FIRUZABAD,MEGGIE TAZBAH,"['Meggie Tazbah was a hostage in Firuzabad', 'Meggie Tazbah was a hostage in Firuzabad', 'Meggie Tazbah was a hostage in Firuzabad']","['1', '2', '3']",6.0
FIRUZABAD,DURKE BATAGLANI,"['Durke Bataglani was a hostage in Firuzabad', 'Durke Bataglani was a hostage in Firuzabad', 'Durke Bataglani was a hostage in Firuzabad']","['1', '2', '3']",3.0
AURELIA,QUINTARA,"['Quintara brokered the hostage exchange between Firuzabad and Aurelia', 'Quintara brokered the hostage exchange between Firuzabad and Aurelia', 'Quintara brokered the hostage exchange between Firuzabad and Aurelia']","['1', '2', '3']",6.0
QUINTARA,FIRUZI,['Quintara negotiated the transfer of Firuzi funds in the hostage exchange'],['1'],3.0
TIRUZIA,KROHAARA,"['Hostages boarded a chartered flight from Tiruzia to Krohaara', 'Chartered flight from Tiruzia to Krohaara']","['1', '2']",8.0
TIRUZIA,SAMUEL NAMARA,"[""Samuel Namara was held in Tiruzia's Alhamia Prison"", ""Samuel Namara was held in Tiruzia's Alhamia Prison""]","['1', '3']",6.0
TIRUZIA,DURKE BATAGLANI,['Durke Bataglani was held hostage in Tiruzia'],['1'],4.0
TIRUZIA,MEGGIE TAZBAH,['Meggie Tazbah was held hostage in Tiruzia'],['1'],1.0
KROHAARA,CASHION,['Hostages are on their way from Krohaara to Cashion'],['1'],3.0
SAMUEL NAMARA,ALHAMIA PRISON,"['Samuel Namara was a prisoner at Alhamia prison', 'Samuel Namara was a prisoner at Alhamia prison', 'Samuel Namara was a prisoner at Alhamia prison']","['1', '2', '3']",24.0
SAMUEL NAMARA,MEGGIE TAZBAH,"['Samuel Namara and Meggie Tazbah were exchanged in the same hostage release', 'Samuel Namara and Meggie Tazbah were exchanged in the same hostage release', 'Samuel Namara and Meggie Tazbah were exchanged in the same hostage release']","['1', '2', '3']",6.0
SAMUEL NAMARA,DURKE BATAGLANI,"['Samuel Namara and Durke Bataglani were exchanged in the same hostage release', 'Samuel Namara and Durke Bataglani were exchanged in the same hostage release', 'Samuel Namara and Durke Bataglani were exchanged in the same hostage release']","['1', '2', '3']",6.0
DURKE BATAGLANI,MEGGIE TAZBAH,"['Meggie Tazbah and Durke Bataglani were exchanged in the same hostage release', 'Meggie Tazbah and Durke Bataglani were exchanged in the same hostage release', 'Meggie Tazbah and Durke Bataglani were exchanged in the same hostage release']","['1', '2', '3']",6.0
FIRUZABAD,TIRUZIA,['Hostages boarded a chartered flight from Tiruzia'],['2'],3.0
AURELIA,OFFICIALS,['Senior Aurelian officials welcomed the hostages'],['2'],7.0
QUINTARA,KROHAARA,"['Funds transferred to financial institutions in Krohaara', 'Funds for the hostage exchange were transferred to financial institutions in Krohaara']","['2', '3']",10.0
CASHION,OFFICIALS,['Senior Aurelian officials are in Cashion'],['2'],1.0
FIRUZABAD,FIRUZI,['The hostages held in Firuzabad were of Firuzi nationality'],['3'],2.0
MARROW,GENERATION,"[""Marrow is a key part of the body's generation process, facilitating the flow of streams and irrigation""]",['4'],8.0
HEAD,SINCE,"['The head requires sinews and skin to form a bond with the body, as it is not encircled by sinews']",['4'],6.0
FIRE,PENETRATES,"[""Fire has the smallest particles and penetrates through various elements, affecting the body's structure""]",['4'],7.0
