title,type,description,text_unit_ids,frequency
SACRED-TEXTS,ORGANIZATION,['Sacred-Texts is a platform that provides esoteric and spiritual texts for readers'],['0'],1
GOLDEN CHAIN OF HOMER,EVENT,['The Golden Chain of Homer is a text discussing the generation of things'],['0'],1
NATURE,PERSON,"['Nature encompasses all visible and invisible creatures in the universe, with fire and Anima Mundi being key components']",['0'],1
ANIMA MUNDI,ORGANIZATION,['Anima Mundi is the universal fire filling the universe and acting as a universal agent'],['0'],1
DIVINE OMNIPOTENCE,ORGANIZATION,"['Divine Omnipotence is the creator of the first creature, the universal fire\nDivine Omnipotence is the power of God to do anything']",['0'],1
HEAVENLY BODIES,GEO,"['Heavenly bodies influence the movement of the atmosphere and the generation of vapors\nHeavenly bodies are celestial objects such as stars, planets, and moons']",['0'],1
SPIRITUS MUNDI,ORGANIZATION,['Spiritus Mundi is the universal spirit that animates all things in the world\nSpiritus Mundi is the spirit of the world that animates all things'],['0'],1
PRIMA MATERIA,ORGANIZATION,['Prima Materia is the first matter from which all things are made\nPrima Materia is the first matter from which all things are generated and to which they return'],['0'],1
ALEMBIC OF THE AIR,ORGANIZATION,['Alembic of the air is where vapors are condensed to generate the universal sperm\nAlembic of the air is where vapors are circulated and condensed to generate the universal sperm'],['0'],1
UNIVERSAL SPERM,,[''],['0'],1
INDEX,ORGANIZATION,['Index is a list of topics or names at the end of a book'],['0'],1
VISIBLE CREATURES,PERSON,['Visible creatures are living beings that can be seen with the naked eye'],['0'],1
INVISIBLE CREATURES,PERSON,['Invisible creatures are living beings that cannot be seen with the naked eye'],['0'],1
WHOLE UNIVERSE,GEO,['The whole universe encompasses all celestial bodies and space'],['0'],1
UNIVERSAL FIRE,ORGANIZATION,['Universal fire is the fire that fills the entire universe'],['0'],1
OMNIPRESENT,PERSON,['Omnipresent refers to something that is present everywhere at the same time'],['0'],1
UNERRING INSTINCT,PERSON,['Unerring instinct is an instinct that is always correct and reliable'],['0'],1
ESOTERIC,ORGANIZATION,['Esoteric is a category of knowledge that is understood by a select group of people'],['0'],1
VERDANTIS,ORGANIZATION,"['Verdantis is a country or region where the Central Institution operates, setting interest rates on specific days']",['1'],1
CENTRAL INSTITUTION,ORGANIZATION,['The Central Institution is a key organization that sets interest rates and makes policy decisions'],['1'],1
MARTIN SMITH,PERSON,['Martin Smith is the Chair of the Central Institution'],['1'],1
MARKET STRATEGY COMMITTEE,ORGANIZATION,['The Market Strategy Committee is a sub-organization within the Central Institution that makes decisions on interest rates and monetary policy'],['1'],1
THUNDERSHOWER,EVENT,['Thundershowers contribute to the collection of rain water for distillation'],['1'],1
FIRUZABAD,GEO,"['Firuzabad is a location where Aurelians were held as hostages', 'Firuzabad is a location where hostages were held']","['1', '2']",2
AURELIA,GEO,"['Aurelia is the country where the Aurelians are returning to after being held hostage', 'Aurelia is a country seeking to release hostages']","['1', '2']",2
QUINTARA,GEO,"['Quintara is a country that negotiated a hostage exchange with Firuzabad', 'Quintara is a country that negotiated a hostage exchange']","['1', '2']",2
TIRUZIA,GEO,"['Tiruzia is the capital of Firuzabad where the Aurelians were held hostage', 'Tiruzia is the capital of Firuzabad where hostages were held']","['1', '2']",2
KROHAARA,GEO,"['Krohaara is the capital city in Quintara where the hostage exchange funds were transferred', 'Krohaara is the capital city in Quintara where funds were transferred']","['1', '2']",2
CASHION,GEO,"['Cashion is the capital city in Aurelia where the Aurelians are headed', 'Cashion is the capital city in Aurelia where the hostages are headed']","['1', '2']",2
SAMUEL NAMARA,PERSON,"[""Samuel Namara is a businessman who was held in Tiruzia's Alhamia Prison"", 'Samuel Namara is a businessman who was held in Alhamia Prison']","['1', '2']",2
ALHAMIA PRISON,GEO,['Alhamia Prison is a prison in Tiruzia where hostages were held'],['1'],1
DURKE BATAGLANI,PERSON,"['Durke Bataglani is a journalist who was held hostage in Firuzabad', 'Durke Bataglani is a journalist who was held hostage']","['1', '2']",2
MEGGIE TAZBAH,PERSON,"['Meggie Tazbah is an environmentalist who was held hostage in Firuzabad', 'Meggie Tazbah is an environmentalist who was held hostage']","['1', '2']",2
VAPORS,GEO,['Vapors are continually circulated and resolved into water and ferment more and more'],['2'],1
WATER,GEO,['Water is formed from the circulation of vapors and fermentation'],['2'],1
FERMENTED WATERS,GEO,"['Fermented waters contain a subtil spirit of nitre and salt, becoming more corrosive']",['2'],1
STONES,GEO,['Stones are dissolved by corrosive water'],['2'],1
ROCKS,GEO,['Rocks are dissolved by corrosive water'],['2'],1
CORROSIVE WATER,GEO,"['Corrosive water dissolves rocks, stones, and earths']",['2'],1
SALT,GEO,['Salt is condensed and coagulated by gentle subterraneous heat'],['2'],1
VITRIOLIC SALT,GEO,['Vitriolic salt is formed from salt by succeeding vapors'],['2'],1
MINERS,PERSON,['Miners work with the earth and minerals'],['2'],1
GUR,GEO,"['Gur is a subtil, corrosive, smeary or unctuous earth']",['2'],1
ALHAMIA PRISON,,[''],['2'],1
SPIRITUS MUNDI,GEO,['Spiritus Mundi is the universal vinegar and incorporeal spirit'],['2'],1
ANIMA MUNDI,GEO,['Anima Mundi is the soul or spirit of the universe'],['2'],1
EMERALD TABLET OF HERMES,EVENT,['The Emerald Tablet of Hermes is a sacred text in alchemy'],['2'],1
UNIVERSAL FIRE,,[''],['2'],1
FERMENTATION,,[''],['2'],1
HUMIDITY,,[''],['2'],1
ALCHEMY,,[''],['2'],1
