title,type,description,text_unit_ids,frequency
INTERNET ENCYCLOPEDIA OF PHILOSOPHY,ORGANIZATION,['The Internet Encyclopedia of Philosophy is a comprehensive online resource for philosophical information and research'],['0'],1
RENE DESCARTES,PERSON,['Rene Descartes was a philosopher known for his contributions to the field of philosophy'],['0'],1
ELIZABETH S. HALDANE,PERSON,"[""Elizabeth S. Haldane translated Descartes' works into English""]",['0'],1
MICHAEL SOLY,PERSON,"[""Michael Soly published the first edition of Descartes' Meditations in Latin""]",['0'],1
LOUIS ELZEVIR,PERSON,"[""Louis Elzevir published the second edition of Descartes' Meditations in Amsterdam""]",['0'],1
DUKE DE LUYNES,PERSON,"[""Duke de Luynes translated Descartes' works into French""]",['0'],1
PERE MERSENNE,PERSON,"[""Pere Mersenne assisted in the publication of Descartes' works""]",['0'],1
LEO X,PERSON,['Leo X presided over the Lateran Council that condemned certain tenets'],['0'],1
ARCHIMEDES,PERSON,['Archimedes was a mathematician known for his contributions to geometry'],['0'],1
APOLLONIUS,PERSON,['Apollonius was a mathematician known for his work on conic sections'],['0'],1
PAPPUS,PERSON,['Pappus was a mathematician known for his work on geometry'],['0'],1
SORBONNE,ORGANIZATION,['The Sorbonne is a renowned institution known for its authority in matters of faith and philosophy'],['0'],1
WISDOM OF SOLOMON,EVENT,['The Wisdom of Solomon is a biblical text that discusses knowledge of God'],['0'],1
ROMANS,EVENT,['The Book of Romans in the Bible discusses knowledge of God'],['0'],1
ALHAMIA PRISON,GEO,['Alhamia Prison is a location mentioned in the text'],['0'],1
TIRUZIA,GEO,['Tiruzia is the capital of Firuzabad mentioned in the text'],['0'],1
KROHAARA,GEO,['Krohaara is the capital city in Quintara mentioned in the text'],['0'],1
CASHION,GEO,['Cashion is the capital city in Aurelia mentioned in the text'],['0'],1
SAMUEL NAMARA,PERSON,['Samuel Namara is a businessman mentioned in the text'],['0'],1
DURKE BATAGLANI,PERSON,['Durke Bataglani is a journalist mentioned in the text'],['0'],1
MEGGIE TAZBAH,PERSON,['Meggie Tazbah is an environmentalist mentioned in the text'],['0'],1
AURELIA,,[''],['0'],1
QUINTARA,,[''],['0'],1
FIRUZABAD,,[''],['0'],1
VERDANTIS,ORGANIZATION,['Verdantis is a financial institution that sets interest rates and makes policy decisions'],['1'],1
CENTRAL INSTITUTION,ORGANIZATION,['The Central Institution is a part of Verdantis that holds meetings and press conferences'],['1'],1
MARTIN SMITH,PERSON,['Martin Smith is the Chair of the Central Institution'],['1'],1
MARKET STRATEGY COMMITTEE,ORGANIZATION,['Committee within the Central Institution that makes decisions on interest rates'],['1'],1
POLICY DECISION,EVENT,['The policy decision is a key announcement made by the Central Institution'],['1'],1
PRESS CONFERENCE,EVENT,['The press conference is where key announcements are made by the Central Institution'],['1'],1
INVESTORS,PERSON,"[""Investors are individuals who expect certain outcomes from the Central Institution's decisions""]",['1'],1
INTEREST RATE,EVENT,"[""The interest rate is a key factor in the Central Institution's policy decisions""]",['1'],1
FEDERAL RESERVE,,[''],['1'],1
GOD,PERSON,"['God is the supreme being with infinite perfections and the creator of all things', 'God is considered the creator and source of all existence, including the nature of man']","['2', '4']",2
HUMAN MIND,PERSON,['The human mind is a thinking entity distinct from the body'],['2'],1
SELF,PERSON,['The self is an incomplete and dependent being with a desire for perfection'],['2'],1
PARENTS,PERSON,['Parents are the biological progenitors of an individual'],['2'],1
MIND,PERSON,"['The mind possesses the capacity for judgment and knowledge', 'The mind is indivisible and distinct from the body, capable of clear and distinct thoughts and perceptions']","['2', '4']",2
SENSES,PERSON,"['The senses provide information about the external world', 'The senses provide information to the mind about the external world and can sometimes be deceptive']","['2', '4']",2
IDEA,PERSON,['Ideas are mental representations of concepts and objects'],['2'],1
TRUTH,EVENT,['Truth is the state of being in accordance with fact or reality'],['2'],1
ERROR,EVENT,['Error is a lack of knowledge or a deviation from truth'],['2'],1
FREE WILL,PERSON,['Free will is the ability to make choices without constraint'],['2'],1
CHOICE,PERSON,['Choice is the act of selecting between alternatives'],['2'],1
CAPACITY,PERSON,['Capacity refers to the ability or potential to do something'],['2'],1
WILL,PERSON,['Will is the faculty of the mind that selects and controls actions'],['2'],1
KNOWLEDGE,,[''],['2'],1
BODY,ORGANIZATION,"['The body is composed of various members and is capable of experiencing pleasure, pain, hunger, thirst, and emotions']",['3'],1
PLEASURE,EVENT,['Feeling of satisfaction or enjoyment experienced by the body'],['3'],1
PAIN,EVENT,['Feeling of discomfort or suffering experienced by the body'],['3'],1
HUNGER,EVENT,['Bodily sensation indicating the need for food'],['3'],1
THIRST,EVENT,['Bodily sensation indicating the need for water'],['3'],1
JOY,EVENT,['Positive emotional state experienced by the body'],['3'],1
SADNESS,EVENT,['Negative emotional state experienced by the body'],['3'],1
ANGER,EVENT,['Emotion characterized by feelings of hostility and frustration'],['3'],1
HARDNESS,EVENT,['Tactile quality of resistance to pressure or force'],['3'],1
HEAT,EVENT,['Tactile quality associated with high temperature'],['3'],1
LIGHT,EVENT,['Visible electromagnetic radiation'],['3'],1
COLOUR,EVENT,['Perceived visual attribute of an object'],['3'],1
SCENTS,EVENT,['Perceived olfactory qualities'],['3'],1
SOUNDS,EVENT,['Auditory sensations produced by vibrations'],['3'],1
SKY,GEO,['Atmospheric region above the Earth'],['3'],1
EARTH,GEO,['Planet on which we live'],['3'],1
SEA,GEO,['Large body of salt water'],['3'],1
APPETITES,EVENT,"['Bodily desires or cravings, such as hunger and thirst']",['3'],1
PASSIONS,EVENT,"['Strong emotions experienced by the body, such as joy, sadness, and anger']",['3'],1
TACTILE QUALITIES,EVENT,"['Sensations perceived through touch, such as hardness and heat']",['3'],1
VISUAL QUALITIES,EVENT,"['Perceptions related to sight, such as light and color']",['3'],1
OLFACTORY QUALITIES,EVENT,"['Perceptions related to smell, such as scents']",['3'],1
AUDITORY QUALITIES,EVENT,"['Perceptions related to hearing, such as sounds']",['3'],1
MEMBERS,,[''],['3'],1
BODY,PERSON,['The body is divisible and interacts with the mind through nerves and sensations'],['4'],1
NATURE,PERSON,"['Nature influences human behavior and perceptions, sometimes leading to errors and deception']",['4'],1
MEMORY,PERSON,"['Memory helps connect past experiences with present perceptions, aiding in the understanding of reality']",['4'],1
UNDERSTANDING,PERSON,"['The understanding helps analyze and interpret sensory information, correcting errors in perception']",['4'],1
CONSCIOUSNESS,PERSON,"[""Consciousness is the awareness of one's thoughts, sensations, and surroundings""]",['4'],1
DECEPTION,PERSON,['Deception can occur when the senses or perceptions lead to false beliefs or misunderstandings'],['4'],1
