source,target,description,text_unit_ids,weight
SAMUEL NAMARA,ALHAMIA PRISON,['Samuel Namara was a prisoner at Alhamia prison'],['0'],8.0
SAMUEL NAMARA,MEGGIE TAZBAH,['Samuel Namara and Meggie Tazbah were exchanged in the same hostage release'],['0'],2.0
SAMUEL NAMARA,DURKE BATAGLANI,['Samuel Namara and Durke Bataglani were exchanged in the same hostage release'],['0'],2.0
SAMUEL NAMARA,FIRUZABAD,['Samuel Namara was a hostage in Firuzabad'],['0'],2.0
DURKE BATAGLANI,MEGGIE TAZBAH,['Meggie Tazbah and Durke Bataglani were exchanged in the same hostage release'],['0'],2.0
DURKE BATAGLANI,FIRUZABAD,['Durke Bataglani was a hostage in Firuzabad'],['0'],2.0
MEGGIE TAZBAH,FIRUZABAD,['Meggie Tazbah was a hostage in Firuzabad'],['0'],2.0
FIRUZABAD,AURELIA,['Firuzabad negotiated a hostage exchange with Aurelia'],['0'],2.0
FIRUZABAD,QUINTARA,['Quintara brokered the hostage exchange between Firuzabad and Aurelia'],['0'],2.0
AURELIA,QUINTARA,['Quintara brokered the hostage exchange between Firuzabad and Aurelia'],['0'],2.0
BURCKHARDT,TRITHEMIUS,['Burckhardt and Trithemius both discuss alchemical fixation and the creative process'],['1'],7.0
TRITHEMIUS,NEWTON,['Trithemius and Newton both discuss alchemical processes and the nature of transformation'],['1'],8.0
BACSTROM,NEWTON,['Bacstrom and Newton both discuss alchemical powers and processes'],['1'],6.0
BLAVATSKY,SCHUMAKER,['Blavatsky and Schumaker both discuss the astral light and alchemical operations\nBlavatsky and Schumaker both discuss the astral light and its role in alchemical operations'],['1'],12.0
HORTULANUS,IBN UMAIL,"[""Hortulanus and Ibn Umail both discuss the composition of the Philosopher's Stone\nHortulanus and Ibn Umail both discuss the composition and nature of the Philosopher's Stone""]",['1'],7.0
ALBERTUS MAGNUS,ROGER BACON,['Albertus Magnus and Roger Bacon both discuss alchemical processes and the secrets of nature'],['1'],5.0
GEORGE RIPLEY,MICHAEL MAIER,['George Ripley and Michael Maier both discuss alchemical emblems and symbolism'],['1'],1.0
